Column 1,unique_id,random order,first x,tabu tenure,Label,Label 2,Goalfunction
0,10large,False,1,10,0 — 1,1,"33444,952584"
0,10large,False,1,10,1 — 2,2,"33302,420512"
0,10large,False,1,10,2 — 3,3,"32884,580395"
0,10large,False,1,10,3 — 4,4,"32754,157113"
0,10large,False,1,10,4 — 5,5,"32583,454457"
0,10large,False,1,10,5 — 6,6,"31834,808914"
0,10large,False,1,10,6 — 7,7,"30066,089257"
0,10large,False,1,10,7 — 8,8,"25921,932975"
0,10large,False,1,10,8 — 9,9,"25809,370539"
0,10large,False,1,10,9 — 10,10,"25490,952118"
0,10large,False,1,10,10 — 11,11,"25419,882959"
0,10large,False,1,10,11 — 12,12,"25398,681018"
0,10large,False,1,10,12 — 13,13,"25310,238544"
0,10large,False,1,10,13 — 14,14,"25122,392914"
0,10large,False,1,10,14 — 15,15,"24900,216775"
0,10large,False,1,10,15 — 16,16,"24665,573321"
0,10large,False,1,10,16 — 17,17,"24428,806198"
0,10large,False,1,10,17 — 18,18,"21439,482001"
0,10large,False,1,10,18 — 19,19,"20274,115798"
0,10large,False,1,10,19 — 20,20,"17949,390168"
0,10large,False,1,10,20 — 21,21,"17741,564106"
0,10large,False,1,10,21 — 22,22,"17366,264293"
0,10large,False,1,10,22 — 23,23,"16666,299576"
0,10large,False,1,10,23 — 24,24,"13542,080651"
0,10large,False,1,10,24 — 25,25,"10259,382403"
0,10large,False,1,10,25 — 26,26,"10036,278187"
0,10large,False,1,10,26 — 27,27,"9840,2118606"
0,10large,False,1,10,27 — 28,28,"9673,9482708"
0,10large,False,1,10,28 — 29,29,"9579,2457423"
0,10large,False,1,10,29 — 30,30,"9280,3631066"
0,10large,False,1,10,30 — 31,31,"7795,6916368"
0,10large,False,1,10,31 — 32,32,"7734,2255768"
0,10large,False,1,10,32 — 33,33,"7719,0902019"
0,10large,False,1,10,33 — 34,34,"7705,9695724"
0,10large,False,1,10,34 — 35,35,"7426,0621498"
0,10large,False,1,10,35 — 36,36,"3541,1631174"
0,10large,False,1,10,36 — 37,37,"2383,8715705"
0,10large,False,1,10,37 — 38,38,"2316,957711"
0,10large,False,1,10,38 — 39,39,"2244,8314784"
0,10large,False,1,10,39 — 40,40,"2228,3006728"
0,10large,False,1,10,40 — 41,41,"2159,2454104"
0,10large,False,1,10,41 — 42,42,"1996,2439743"
0,10large,False,1,10,42 — 43,43,"1996,2439743"
0,10large,False,1,10,43 — 44,44,"1966,6275843"
0,10large,False,1,10,44 — 45,45,"1952,9040949"
0,10large,False,1,10,45 — 46,46,"1952,9040949"
0,10large,False,1,10,46 — 47,47,"1917,1941042"
0,10large,False,1,10,47 — 48,48,"1882,9103495"
0,10large,False,1,10,48 — 49,49,"1882,033779"
0,10large,False,1,10,49 — 50,50,"1860,1045653"
0,10large,False,1,10,50 — 51,51,"1860,1045653"
0,10large,False,1,10,51 — 52,52,"1860,1045653"
0,10large,False,1,10,52 — 53,53,"1805,2959942"
0,10large,False,1,10,53 — 54,54,"1805,2959942"
0,10large,False,1,10,54 — 55,55,"1793,2024035"
0,10large,False,1,10,55 — 56,56,"1793,2024035"
0,10large,False,1,10,56 — 57,57,"1793,2024035"
0,10large,False,1,10,57 — 58,58,"1784,0568337"
0,10large,False,1,10,58 — 59,59,"1784,0568337"
0,10large,False,1,10,59 — 60,60,"1784,0568337"
0,10large,False,1,10,60 — 61,61,"1757,055195"
1,10large,False,1,50,0 — 1,1,"33444,952584"
1,10large,False,1,50,1 — 2,2,"33302,420512"
1,10large,False,1,50,2 — 3,3,"32884,580395"
1,10large,False,1,50,3 — 4,4,"32794,284206"
1,10large,False,1,50,4 — 5,5,"32620,830561"
1,10large,False,1,50,5 — 6,6,"31834,808914"
1,10large,False,1,50,6 — 7,7,"27459,748261"
1,10large,False,1,50,7 — 8,8,"25869,216377"
1,10large,False,1,50,8 — 9,9,"25809,370539"
1,10large,False,1,50,9 — 10,10,"25507,273479"
1,10large,False,1,50,10 — 11,11,"25488,980756"
