unique_id,random order,first x,tabu tenure,0 — 1,1 — 2,2 — 3,3 — 4,4 — 5,5 — 6,6 — 7,7 — 8,8 — 9,9 — 10,10 — 11,11 — 12,12 — 13,13 — 14,14 — 15,15 — 16,16 — 17,17 — 18,18 — 19,19 — 20,20 — 21,21 — 22,22 — 23,23 — 24,24 — 25,25 — 26,26 — 27,27 — 28,28 — 29,29 — 30,30 — 31,31 — 32,32 — 33,33 — 34,34 — 35,35 — 36,36 — 37,37 — 38,38 — 39,39 — 40,40 — 41,41 — 42,42 — 43,43 — 44,44 — 45,45 — 46,46 — 47,47 — 48,48 — 49,49 — 50,50 — 51,51 — 52,52 — 53,53 — 54,54 — 55,55 — 56,56 — 57,57 — 58,58 — 59,59 — 60,60 — 61
10large,False,1,10,"33444,952584","33302,420512","32884,580395","32754,157113","32583,454457","31834,808914","30066,089257","25921,932975","25809,370539","25490,952118","25419,882959","25398,681018","25310,238544","25122,392914","24900,216775","24665,573321","24428,806198","21439,482001","20274,115798","17949,390168","17741,564106","17366,264293","16666,299576","13542,080651","10259,382403","10036,278187","9840,2118606","9673,9482708","9579,2457423","9280,3631066","7795,6916368","7734,2255768","7719,0902019","7705,9695724","7426,0621498","3541,1631174","2383,8715705","2316,957711","2244,8314784","2228,3006728","2159,2454104","1996,2439743",,"1966,6275843","1952,9040949",,"1917,1941042","1882,9103495","1882,033779","1860,1045653",,"1860,1045653","1805,2959942",,"1793,2024035",,"1793,2024035","1784,0568337",,"1784,0568337","1757,055195"
10large,False,1,50,"33444,952584","33302,420512","32884,580395","32794,284206","32620,830561","31834,808914","27459,748261","25869,216377","25809,370539","25507,273479","25488,980756","25398,681018","25310,238544","25122,392914","24900,216775","24665,573321","24473,712878","21439,482001","20122,706198","17949,390168","17800,499321","17366,264293","16388,810698","14627,780231","11035,582315","10036,278187","9840,2118606","9708,4398489","9673,9482708","9280,3631066","7795,6916368","7734,2255768","7719,0902019","7705,9695724","6525,6578364","3383,5133547","2383,8715705","2316,957711","2244,8314784","2228,3006728","2159,2454104","1996,2439743",,"1966,6275843","1952,9040949",,"1917,1941042","1917,1941042","1882,033779","1882,033779","1860,1045653","1860,1045653","1805,2959942",,"1805,2959942","1793,2024035",,"1784,0568337",,"1784,0568337","1757,055195"
10large,False,1,100,"33444,952584","33302,420512","32884,580395","32794,284206","32754,157113","32678,029468","32571,640644","31609,063505","25972,092712","25834,932622","25507,273479","25488,980756","25398,681018","25310,238544","25122,392914","24900,216775","24665,573321","22456,843847","20352,377515","20026,635024","17945,76556","17613,876288","17234,356847","15144,214377","11144,986131","10203,170016","9930,3439764","9756,4572635","9673,9482708","9410,0090223","9125,2450774","7795,6916368","7726,6529738","7719,0902019","7688,50183","5679,4947962","2383,8715705","2316,957711","2316,957711","2228,3006728","2159,2454104","2030,7219214","1996,2439743","1966,6275843",,"1952,9040949","1917,1941042","1917,1941042","1882,033779","1882,033779","1860,1045653","1860,1045653","1805,2959942",,"1793,2024035",,"1784,0568337",,"1784,0568337","1757,055195","1747,2051255"
10large,False,5,10,"39281,234354","38531,297243","37983,152885","37547,431923","33777,79383","33230,924353","32999,80647","32697,70941","32473,155063","32168,366077","31845,847011","31492,756042","31350,213084","31160,317193","30901,323503","30453,907563","30107,814381","30084,641079","29844,985403","29357,220417","29198,684545","28922,557685","28791,859417","28549,883393","27993,501666","26842,730926","26375,717146","26262,480496","25491,057523","24679,957962","24373,345206","24316,344791","24155,343887","24087,675514","23866,212826","23840,022686","23584,539289","23231,566681","23008,340113","22850,102544","22762,965859","22531,232514","22531,232514","22178,094063","21895,091908",,"21818,895761","21700,006262","21511,258566","21511,258566","21465,113387","21392,383394",,"21352,608147",,"21086,31774","21047,015567","20881,753741","20694,131532",,"20565,608044"
10large,False,5,50,"39281,234354","38531,297243","37983,152885","37393,980001","33346,163752","33033,429248","32749,533844","32683,177161","32332,976288","32168,366077","31623,670872","31456,948282","31183,490495","30993,594603","30635,691497","30290,635289","30084,641079","30003,58541","29525,914368","29357,220417","29004,473938","28922,557685","28791,859417","28475,165319","27221,546081","26375,717146","26262,480496","25491,057523","24679,957962","24532,09811","24316,344791","24218,569006","24155,343887","23866,212826","23840,022686","23584,539289","23231,566681","23008,340113","22850,102544","22786,877424","22762,965859","22531,232514","22423,929588","22178,094063","21895,091908","21818,895761","21700,006262",,"21511,258566","21511,258566","21465,113387","21392,383394",,"21352,608147",,"21086,31774","21047,015567","20881,753741",,"20694,131532","20565,608044"
10large,False,5,100,"39281,234354","38531,297243","37983,152885","37393,980001","33346,163752","33033,429248","32749,533844","32683,177161","32332,976288","32168,366077","31623,670872","31456,948282","31183,490495","30993,594603","30635,691497","30290,635289","30084,641079","30003,58541","29525,914368","29357,220417","29004,473938","28922,557685","28791,859417","28475,165319","27066,695481","26375,717146","26262,480496","25491,057523","24679,957962","24532,09811","24316,344791","24218,569006","24087,675514","23866,212826","23840,022686","23584,539289","23231,566681","23008,340113","22850,102544","22786,877424","22762,965859","22531,232514","22423,929588","22178,094063","21895,091908","21818,895761","21700,006262","21511,258566","21511,258566","21465,113387","21392,383394",,"21352,608147",,"21086,31774","21047,015567","20881,753741","20694,131532",,"20565,608044","20547,942467"
10large,False,10,10,"41025,899674","40049,78072","39303,605903","37286,332999","34464,695582","33516,997618","33233,744346","32898,461255","32792,536337","32399,613456","32126,155669","31724,478378","31119,353157","30733,98961","30493,593046","30087,460547","29876,849913","29606,170852","29417,688809","28852,183183","28442,923814","28209,097449","27829,667023","27410,023611","27226,75167","27009,586644","26929,887808","26615,086418","26066,309279","25691,049057","25427,826738","25300,02767","25107,322269","24978,062848","24732,688594","24425,583118","24317,520198","23935,995138","23811,268656","23703,965731","23226,39686",,"22943,394705","22626,237812","22475,481859","22221,783709","22128,332983","21922,223852","21848,380819","21719,401251","21519,488186",,"21387,337009","21288,591322","21190,850383","21087,595543",,"20944,933424","20886,134062",,"20810,823867"
10large,False,10,50,"41025,899674","40049,78072","39303,605903","37535,060553","35009,390787","33516,997618","33233,744346","32898,461255","32844,360771","32542,263711","32268,698627","31879,328978","31545,748917","31119,353157","30733,98961","30493,593046","30087,460547","29876,849913","29606,170852","29205,155792","28628,956615","28442,923814","28209,097449","27829,667023","27410,023611","27226,75167","27158,840104","27009,586644","26881,556155","26615,086418","26066,309279","25691,049057","25427,826738","25300,02767","25107,322269","24978,062848","24732,688594","24425,583118","24317,520198","24155,892686","23811,268656","23703,965731","23472,232385","23226,39686","22943,394705","22943,394705","22475,481859","22221,783709","22128,332983",,"21922,223852","21848,380819","21719,401251","21519,488186","21387,337009",,"21288,591322","21190,850383","21087,595543",,"20944,933424"
10large,False,10,100,"41025,899674","40049,78072","39432,129392","38090,15601","35555,456301","33793,584835","33233,744346","33029,376084","32844,360771","32399,613456","32126,155669","31724,478378","31324,795251","31119,353157","30733,98961","30493,593046","30087,460547","29876,849913","29606,170852","29417,688809","28852,183183","28628,956615","28209,097449","27829,667023","27671,429454","27306,450506","27158,840104","27009,586644","26929,887808","26881,556155","26487,071503","25880,164639","25691,049057","25427,826738","25300,02767","25107,322269","24978,062848","24732,688594","24425,583118","24317,520198","24155,892686","23811,268656","23703,965731","23472,232385","23226,39686","22943,394705","22758,16053","22475,481859","22221,783709","22128,332983",,"21922,223852","21848,380819","21719,401251","21519,488186","21387,337009",,"21288,591322","21190,850383","21087,595543",
10large,True,1,10,"38067,924485","33289,441065","29168,531889","28218,668469","28023,049844",,,,"25708,552291","24537,544729",,,"24257,355699",,"22117,613952",,,"20904,78421","18856,344332","16730,753339","16004,542398",,"14995,963452","14649,865272",,"14304,539667","13607,178874",,,,"13390,982483","11355,37837","8753,3798261","7922,1404321","6887,5471884","5381,2809993","4651,85297","4003,0878835","4003,0878835",,,"2719,7948972","1253,6039543","1187,2268748",0,,,,,,,,,,,,,,,,
10large,True,1,50,"37899,44703","32354,982728","27856,00877","24316,492036","21944,82644","21828,523924","19781,974619","17732,895445","15375,365919",,"14671,70233","14376,129903",,,,"14319,59267",,"13676,197013","12956,492119","11866,42214","11168,585978",,,"11144,423029","10606,934386",,"10467,24842",,,"10355,963694","9991,2321273","9239,1664801","8377,5519859",,,"8348,1736454","8083,5370976","7727,7206744","6265,1097444","6025,9747902",,"5673,4607994",,,,"5452,5148819","4620,9224121","4063,9851219",,"2977,3814853","2254,1691438","2097,032407",,"1385,4629876","881,98059553","69,950537397",0,,,,
