random order,unique_id,tabu tenure,first x,size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
False,10medium,10,1,medium,"11460,603898","11284,189922","10981,350477","10810,881195","10621,197459","10350,782252","9848,3095172","9655,4703077","8912,2871637","8343,9437353","6239,1295351","3545,5511292","1147,3032977","350,02547453","44,289045871",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,10medium,10,5,medium,"8394,7891278","7964,8601507","7762,8834245","7536,9761324","7091,0243189","6503,3060428","6191,558102","5885,2338573","5474,7219102","5018,2252916","4795,336966","4479,7981112","4274,4585496","4132,0903463","4034,2998134","3962,5492077","3790,0708713","3684,1073275","3597,7499847","3529,4610363","3492,3373025","3404,8654753","3231,7035811","2850,9713927","2734,9298133","2596,2577922","2489,7128194","2079,579929","2011,4978349","1952,9220048","1831,5924816","1796,8008452","1686,5736668","1608,5941652","1546,105977","1523,5695889","1408,9922166","1346,2414705","1311,0000818","1207,8325237","1177,14984","1083,5915573","1041,3154155","1019,7523181","917,39994396","867,51692504","827,14161473",,"763,27768398","745,63780631","600,4185963","546,32617737","416,22443733","306,51093056","246,2348918",,"175,75967617",,"101,71446404",0,,
False,10medium,10,10,medium,"8363,6053764","7810,9420111","7382,9243889","6948,7664828","6523,8235179","6148,2120223","5863,1566798","5794,7466014","5525,6066284","5453,9790061","5444,0413272","5088,0874975","4730,3904623","4381,1597726","4294,8024299","4066,3318728","4031,4085696","3778,6065998","3674,9788988","3547,9320172","3236,2986241","3139,7370124","2999,0921307","2554,628271","2554,628271","2077,0829594","1874,7439099","1675,432281","1515,5929738","1377,184027","1253,0568888","1189,0391207","1189,0391207","990,3029962","930,3856923","923,08305178","835,49365657","753,48691793","644,28980988","450,07201643","387,41464826","226,25748548","173,08443101","132,23755175","95,113818011",0,,,,,,,,,,,,,,,,
False,10medium,50,1,medium,"11443,791606","11284,189922","10998,162769","10823,683361","10786,091147","10446,913947","9905,7219278","9721,5584958","9030,265794","8792,0578863","8174,8085869","5402,3003204","1234,0702432","418,46265264","243,13168916",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,10medium,50,5,medium,"8464,8811095","8109,7771597","7862,8348186","7574,0440274","7290,9682189","6752,1719338","6410,5860581","6037,3327126","5736,8326479","5231,1271179","4897,9960142","4795,336966","4349,9253879","4274,4585496","4132,0903463","3962,5492077","3909,5047264","3790,0708713","3684,1073275","3597,7499847","3529,4610363","3492,3373025","3404,8654753","3231,7035811","2850,9713927","2734,9298133","2596,2577922","2489,7128194","2276,536212","2011,4978349","1952,9220048","1952,9220048","1796,8008452","1686,5736668","1608,5941652","1546,105977","1523,5695889","1408,9922166","1384,2925907","1346,2414705","1311,0000818","1207,8325237","1177,14984","1083,5915573","1041,3154155","1019,7523181","917,39994396","867,51692504","827,14161473","763,27768398","745,63780631","600,4185963","546,32617737",,"416,22443733","306,51093056","246,2348918","246,2348918","175,75967617",,"101,71446404",
False,10medium,50,10,medium,"8363,6053764","7810,9420111","7382,9243889","6731,0261129","6523,8235179","6148,2120223","5863,1566798","5563,0677663","5525,6066284","5453,9790061","5250,5594008","4874,9108901","4482,3478527","4381,1597726","4208,8877545","4066,3318728","3778,6065998","3674,9788988","3547,9320172","3368,9326338","3236,2986241","2999,0921307","2855,6345703","2554,628271","2261,8028614","1874,7439099","1675,432281","1515,5929738","1377,184027","1253,0568888","1189,0391207",,"990,3029962","930,3856923","923,08305178","835,49365657","753,48691793","644,28980988","450,07201643","387,41464826","226,25748548","173,08443101","132,23755175","95,113818011",0,,,,,,,,,,,,,,,,,
False,10medium,100,1,medium,"11460,603898","11284,189922","11010,670794","10895,433967","10621,197459","10350,782252","9871,4406695","9757,8328761","9171,5240288","8792,0578863","8114,5713096","5358,1088239","1234,0702432","452,7439109","288,72282771",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,10medium,100,5,medium,"8464,8811095","7964,8601507","7862,8348186","7536,9761324","7290,9682189","6752,1719338","6258,8578455","5885,2338573","5603,32403","5231,1271179","4897,9960142","4795,336966","4349,9253879","4274,4585496","4034,2998134","3962,5492077","3909,5047264","3790,0708713","3684,1073275","3582,9272755","3492,3373025","3492,3373025","3404,8654753","3099,1185301","2850,9713927","2596,2577922","2596,2577922","2276,536212","2079,579929","2011,4978349","1952,9220048","1831,5924816","1796,8008452","1608,5941652","1608,5941652","1546,105977","1408,9922166","1384,2925907","1346,2414705","1311,0000818","1207,8325237","1177,14984","1083,5915573","1041,3154155","1019,7523181","917,39994396","867,51692504","827,14161473",,"763,27768398","600,4185963",,"546,32617737","416,22443733","306,51093056","246,2348918",,"246,2348918","175,75967617","101,71446404","101,71446404",
False,10medium,100,10,medium,"8363,6053764","7810,9420111","7382,9243889","6948,7664828","6523,8235179","6148,2120223","5863,1566798","5563,0677663","5525,6066284","5453,9790061","5444,0413272","4874,9108901","4730,3904623","4381,1597726","4294,8024299","4066,3318728","4031,4085696","3778,6065998","3591,2806758","3547,9320172","3236,2986241","3139,7370124","2855,6345703","2554,628271","2261,8028614","2077,0829594","1874,7439099","1675,432281","1515,5929738","1377,184027","1253,0568888","1189,0391207","1189,0391207","990,3029962","930,3856923","923,08305178","835,49365657","753,48691793","644,28980988","450,07201643","387,41464826","226,25748548","173,08443101","132,23755175","95,113818011",0,,,,,,,,,,,,,,,,
False,11medium,10,1,medium,"15325,484201","14376,976468","12200,069899","7019,2911689","3016,0789469","2790,2507507","685,227937","254,41396036","16,945610026",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
