first x,goalfunction,id,rel max,tabu tenure,int(time)
1,"23857,611361",1,1,30,0
5,"23857,611361",1,1,30,0
10,"23857,611361",1,1,30,0
5,"21763,477955",1,"0,9122236768",30,1
1,"21542,244692",1,"0,9029506083",30,1
10,"21176,172039",1,"0,8876065469",30,1
5,"20343,832825",1,"0,852718762",30,2
1,"13581,68274",1,"0,5692809114",30,2
10,"19349,259006",1,"0,8110308578",30,2
1,"12324,409939",1,"0,5165818888",30,3
10,"18464,360909",1,"0,7739400491",30,3
5,"18277,126579",1,"0,7660920577",30,3
10,"17355,135722",1,"0,7274464932",30,4
5,"17417,711265",1,"0,7300693687",30,4
1,"11597,910629",1,"0,4861304199",30,4
5,"16511,940513",1,"0,6921036756",30,5
1,"10732,093057",1,"0,4498393781",30,5
10,"16512,485914",1,"0,6921265362",30,5
10,"16055,956537",1,"0,6729909501",30,6
5,"16057,807388",1,"0,6730685292",30,6
1,"9723,9463148",1,"0,40758256",30,6
5,"15278,864211",1,"0,6404188575",30,7
1,"8071,2352857",1,"0,3383086078",30,7
10,"15530,76412",1,"0,650977329",30,7
10,"15007,691329",1,"0,6290525527",30,8
1,"6464,6347569",1,"0,2709673931",30,8
5,"14910,817418",1,"0,6249920494",30,8
1,"4958,8384722",1,"0,2078514231",30,9
10,"14380,543269",1,"0,6027654257",30,9
5,"14396,761298",1,"0,60344521",30,9
10,"13616,406692",1,"0,5707363778",30,10
1,"4342,9586481",1,"0,182036608",30,10
5,"13969,328508",1,"0,5855292173",30,10
5,"13832,360294",1,"0,5797881474",30,11
1,"3895,1779553",1,"0,163267726",30,11
10,"12813,497984",1,"0,5370821827",30,11
1,"3797,3208171",1,"0,1591660104",30,12
10,"12274,453727",1,"0,514487957",30,12
5,"13054,637588",1,"0,5471896323",30,12
10,"11627,010385",1,"0,4873501462",30,13
1,"3753,9060601",1,"0,1573462659",30,13
5,"11177,900471",1,"0,4685255494",30,13
1,"3577,2905533",1,"0,149943366",30,14
10,"10986,491856",1,"0,4605025914",30,14
5,"10258,285556",1,"0,4299795734",30,14
5,"10097,968196",1,"0,423259816",30,15
1,"3549,3963186",1,"0,1487741696",30,15
10,"10551,542464",1,"0,4422715377",30,15
5,"9820,9948575",1,"0,4116503831",30,16
1,"3425,1683205",1,"0,1435671102",30,16
10,"10236,125986",1,"0,4290507474",30,16
10,"9745,1415803",1,"0,4084709669",30,17
1,"3096,2220744",1,"0,129779215",30,17
5,"9705,50558",1,"0,4068096103",30,17
5,"9380,2245306",1,"0,393175343",30,18
1,"3008,4698291",1,"0,1261010494",30,18
10,"9436,1415341",1,"0,3955191235",30,18
5,"9244,6274524",1,"0,3874917448",30,19
10,"9130,4569998",1,"0,3827062509",30,19
1,"2897,559523",1,"0,1214522057",30,19
5,"8980,9313669",1,"0,3764388325",30,20
10,"8727,0091833",1,"0,3657955967",30,20
1,"2890,2697687",1,"0,1211466532",30,20
5,"8709,5525541",1,"0,3650638961",30,21
10,"8601,0784607",1,"0,3605171671",30,21
1,"2870,6480378",1,"0,1203242015",30,21
1,"2765,4937977",1,"0,1159166253",30,22
5,"8328,881188",1,"0,3491079246",30,22
10,"8285,5297932",1,"0,3472908359",30,22
1,"2752,8908649",1,"0,1153883691",30,23
10,"8102,7842631",1,"0,3396309941",30,23
5,"8203,9898588",1,"0,3438730615",30,23
10,"7806,4295507",1,"0,3272091842",30,24
1,"2576,6263647",1,"0,1080001818",30,24
5,"7989,9775806",1,"0,3349026631",30,24
5,"7813,3473215",1,"0,327499145",30,25
10,"7481,4361101",1,"0,3135869722",30,25
1,"2576,6263647",1,"0,1080001818",30,25
5,"7375,9589697",1,"0,3091658615",30,26
1,"2462,3513144",1,"0,1032103037",30,26
10,"7243,2212388",1,"0,3036021138",30,26
10,"7156,0383283",1,"0,299947812",30,27
1,"2415,8373814",1,"0,1012606562",30,27
5,"7158,9603768",1,"0,3000702907",30,27
5,"6833,8184714",1,"0,2864418557",30,28
1,"2415,8373814",1,"0,1012606562",30,28
10,"6814,59284",1,"0,2856360068",30,28
10,"6720,038899",1,"0,2816727457",30,29
5,"6511,1691266",1,"0,2729178973",30,29
1,"2337,4372251",1,"0,0979744866",30,29
1,"2337,4372251",1,"0,0979744866",30,30
5,"6264,0533896",1,"0,262559956",30,30
10,"6446,5404482",1,"0,2702089639",30,30
1,"2230,4781667",1,"0,0934912608",30,31
10,"6446,5404482",1,"0,2702089639",30,31
5,"6221,2244384",1,"0,2607647658",30,31
5,"6179,0844261",1,"0,2589984526",30,32
10,"6063,9137248",1,"0,254171033",30,32
1,"2117,0725478",1,"0,0887378252",30,32
1,"2104,4472932",1,"0,0882086334",30,33
5,"6064,2815611",1,"0,254186451",30,33
10,"5838,0915598",1,"0,2447056192",30,33
10,"5609,8962009",1,"0,2351407321",30,34
1,"1876,4692588",1,"0,0786528555",30,34
5,"5891,8788707",1,"0,2469601328",30,34
5,"5760,9739719",1,"0,2414732089",30,35
1,"1876,4692588",1,"0,0786528555",30,35
10,"5375,9713421",1,"0,225335691",30,35
1,"1876,4692588",1,"0,0786528555",30,36
10,"5356,3496112",1,"0,2245132394",30,36
5,"5701,8110275",1,"0,2389933737",30,36
10,"5140,4063942",1,"0,2154619051",30,37
1,"1804,8626674",1,"0,0756514405",30,37
5,"5560,0822451",1,"0,2330527629",30,37
1,"1644,7059371",1,"0,068938416",30,38
5,"5440,9603643",1,"0,2280597283",30,38
10,"5127,8034614",1,"0,2149336488",30,38
10,"4957,9249136",1,"0,2078131309",30,39
1,"1644,7059371",1,"0,068938416",30,39
5,"5382,2800435",1,"0,2256001224",30,39
10,"4624,4663473",1,"0,1938361002",30,40
1,"1614,5973529",1,"0,0676764043",30,40
5,"5382,2800435",1,"0,2256001224",30,40
10,"4446,2447148",1,"0,1863658791",30,41
5,"5256,1364265",1,"0,2203127692",30,41
1,"1552,228435",1,"0,0650621897",30,41
10,"4300,611432",1,"0,1802616099",30,42
5,"5035,418707",1,"0,21106131",30,42
1,"1346,2514649",1,"0,056428594",30,42
10,"4300,611432",1,"0,1802616099",30,43
1,"1332,5176185",1,"0,0558529351",30,43
5,"5035,418707",1,"0,21106131",30,43
10,"4152,3626624",1,"0,1740477116",30,44
1,"1296,7251201",1,"0,0543526802",30,44
5,"5016,5981253",1,"0,2102724388",30,44
1,"1188,1200011",1,"0,0498004592",30,45
10,"3984,3421657",1,"0,1670050746",30,45
5,"4993,9453557",1,"0,2093229402",30,45
5,"4966,8270614",1,"0,2081862675",30,46
10,"3391,5612266",1,"0,1421584573",30,46
1,"1055,9777433",1,"0,0442616709",30,46
10,"3332,9413692",1,"0,1397013858",30,47
1,"1018,2473823",1,"0,0426801898",30,47
5,"4831,0609255",1,"0,2024955832",30,47
1,"878,84939163",1,"0,036837275",30,48
10,"3293,2239697",1,"0,1380366173",30,48
10,"3069,2703353",1,"0,1286495236",30,49
5,"4831,0609255",1,"0,2024955832",30,49
5,"4831,0609255",1,"0,2024955832",30,49
1,"593,33752125",1,"0,0248699466",30,49
5,"4729,689897",1,"0,1982465816",30,50
10,"2840,0062985",1,"0,1190398425",30,50
1,"542,55894165",1,"0,022741545",30,50
10,"2685,8225411",1,"0,1125771772",30,51
5,"4630,3923843",1,"0,1940844921",30,51
1,"433,3234127",1,"0,0181629001",30,51
10,"2497,5310461",1,"0,1046848743",30,52
5,"4630,3923843",1,"0,1940844921",30,52
1,"201,76186438",1,"0,0084569181",30,52
10,"2383,2204795",1,"0,0998935075",30,53
5,"4470,2296196",1,"0,1873712147",30,53
1,"101,03842051",1,"0,0042350602",30,53
5,"4229,6263306",1,"0,1772862449",30,54
10,"2260,3710958",1,"0,0947442333",30,54
1,0,1,0,30,54
1,0,1,0,30,54
1,0,1,0,30,54
5,"4080,2946348",1,"0,1710269554",30,55
10,"2222,337228",1,"0,0931500306",30,56
10,"2222,337228",1,"0,0931500306",30,56
5,"3983,0073031",1,"0,1669491234",30,56
10,"2216,4729744",1,"0,0929042284",30,57
5,"3983,0073031",1,"0,1669491234",30,57
10,"2149,7845225",1,"0,0901089589",30,58
5,"3916,7471047",1,"0,1641718044",30,58
1,0,1,0,30,58
1,0,1,0,30,58
1,0,1,0,30,58
1,0,1,0,30,58
5,"3564,3874188",1,"0,1494025267",30,59
10,"1876,8787822",1,"0,0786700208",30,59
10,"1876,8787822",1,"0,0786700208",30,59
5,"3501,9783937",1,"0,1467866309",30,60
1,"24262,146204",10,1,30,0
5,"24262,146204",10,1,30,0
10,"24262,146204",10,1,30,0
10,"17762,243481",10,"0,7320969601",30,1
5,"16487,310624",10,"0,6795487293",30,1
1,"19605,531534",10,"0,8080707852",30,1
10,"16236,65915",10,"0,6692177606",30,2
1,"19030,146046",10,"0,784355427",30,2
5,"15796,619934",10,"0,6510808979",30,2
10,"15382,302325",10,"0,6340041889",30,3
5,"15373,031408",10,"0,6336220744",30,3
1,"17364,674295",10,"0,715710562",30,3
1,"17064,613407",10,"0,7033431117",30,4
10,"14757,809916",10,"0,6082648168",30,4
5,"14740,951454",10,"0,6075699705",30,4
5,"14184,867367",10,"0,5846501479",30,5
1,"16376,134087",10,"0,674966425",30,5
10,"14214,199373",10,"0,5858591096",30,5
10,"13661,617371",10,"0,5630836306",30,6
5,"13639,580907",10,"0,5621753654",30,6
1,"15498,935326",10,"0,6388113894",30,6
1,"14915,539749",10,"0,6147658836",30,7
10,"13076,031485",10,"0,538947848",30,7
5,"13127,133487",10,"0,5410540921",30,7
5,"12533,084116",10,"0,5165694746",30,8
1,"14382,486403",10,"0,5927953068",30,8
10,"12454,984864",10,"0,5133504991",30,8
1,"14212,71633",10,"0,5857979838",30,9
5,"11768,969305",10,"0,48507536",30,9
10,"12001,124529",10,"0,4946439787",30,9
10,"11455,059288",10,"0,4721370975",30,10
5,"11178,316416",10,"0,4607307335",30,10
1,"12351,029844",10,"0,5090658403",30,10
5,"10704,059417",10,"0,4411835345",30,11
10,"9346,6233514",10,"0,3852348128",30,11
1,"11669,223114",10,"0,4809641742",30,11
10,"9054,5235945",10,"0,3731954922",30,12
5,"10354,449561",10,"0,4267738507",30,12
1,"11016,583375",10,"0,4540646686",30,12
5,"10242,874445",10,"0,4221751183",30,13
10,"8684,5802783",10,"0,3579477349",30,13
1,"10542,622227",10,"0,4345296636",30,13
10,"8476,1585465",10,"0,3493573271",30,14
1,"9878,4341434",10,"0,4071541759",30,14
5,"10050,035421",10,"0,4142269747",30,14
5,"9870,3342411",10,"0,4068203265",30,15
10,"8154,6107894",10,"0,3361042638",30,15
1,"9774,5329589",10,"0,4028717359",30,15
5,"9566,4029389",10,"0,3942933514",30,16
1,"9427,0916767",10,"0,3885514331",30,16
10,"7910,654665",10,"0,3260492538",30,16
5,"9450,0757342",10,"0,3894987548",30,17
1,"9319,2890064",10,"0,3841081876",30,17
10,"7366,639479",10,"0,3036268687",30,17
5,"9043,6184198",10,"0,3727460194",30,18
1,"9019,3037557",10,"0,3717438548",30,18
10,"6902,0390363",10,"0,2844776789",30,18
1,"8815,6723979",10,"0,3633508892",30,19
